sep=	;
alfa	0,5
beta	0,5
distance constraint	0,4
normative match distance	0,4
total agents	4
characteristic 'intelligence'	0,5	
characteristic 'charisma'	0,5	

	Ace	Ben	Cara	Dan	
characteristic 'intelligence'	92	75	33	23	
characteristic 'charisma'	11	32	87	98	

matched group name	
Ace	nerd	
Ben	nerd	
Cara	Unfamiliar_Group_2	
Dan	jock	

agent-group distance	
Ace	0,09552487	
Ben	0,09552487	
Cara	0,05255949	
Dan	0,05255949	

group dispersion	
Ace	0,2388122	
Ben	0,2388122	
Cara	0,1313987	
Dan	0,1313987	

group distance	
Ace	1	
Ben	1	
Cara	0,6372303	
Dan	1	

comparative fit	
Ace	0,7231466	
Ben	0,7231466	
Cara	0,5954685	
Dan	0,7768534	

accessibility	
Ace	0,9038231	
Ben	0,7128589	
Cara	0,9474405	
Dan	0,8367517	

salience	
Ace	0,6535966	
Ben	0,5155015	
Cara	0,564171	
Dan	0,6500334	

Ace	
salience	
nerd	0,6535966	
jock	0,02117119	

accessibility	
nerd	0,9038231	
jock	0,09487569	


Ben	
salience	
nerd	0,5155015	
jock	0,06340575	

accessibility	
nerd	0,7128589	
jock	0,2841439	


Cara	
salience	
Unfamiliar_Group_1	0,1149415	
Unfamiliar_Group	0,564171	

accessibility	
Unfamiliar_Group_1	0,415171	
Unfamiliar_Group	0,9474405	


Dan	
salience	
nerd	0,03286872	
jock	0,6500334	

accessibility	
nerd	0,1187225	
jock	0,8367517	



